COLUMN 1 - Plot 0	COLUMN 4 - Plot 0
-4.2	-9.76E-11
-4.4	-1.10E-10
-4.6	-1.16E-10
-4.8	-1.20E-10
-5	-1.25E-10
-5.2	-1.32E-10
-5.4	-1.36E-10
-5.6	-1.42E-10
-5.8	-1.46E-10
-6	-1.51E-10
-6.2	-1.58E-10
-6.4	-1.61E-10
-6.6	-1.66E-10
-6.8	-1.72E-10
-7	-1.76E-10
-7.2	-1.81E-10
-7.4	-1.85E-10
-7.6	-1.90E-10
-7.8	-1.95E-10
-8	-1.99E-10
-8.2	-2.04E-10
-8.4	-2.09E-10
-8.6	-2.13E-10
-8.8	-2.19E-10
-9	-2.24E-10
-9.2	-2.29E-10
-9.4	-2.35E-10
-9.6	-2.40E-10
-9.8	-2.46E-10
-10	-2.52E-10
-10.2	-2.57E-10
-10.4	-2.64E-10
-10.6	-2.69E-10
-10.8	-2.76E-10
-11	-2.75E-10
-11.2	-2.86E-10
-11.4	-2.94E-10
-11.6	-3.02E-10
-11.8	-2.86E-10
-12	-3.07E-10
-12.2	-3.20E-10
-12.4	-3.30E-10
-12.6	-3.39E-10
-12.8	-3.48E-10
-13	-3.57E-10
-13.2	-3.67E-10
-13.4	-3.77E-10
-13.6	-3.85E-10
-13.8	-3.95E-10
-14	-4.06E-10
-14.2	-4.15E-10
-14.4	-4.26E-10
-14.6	-4.35E-10
-14.8	-4.46E-10
-15	-4.57E-10
-15.2	-4.67E-10
-15.4	-4.78E-10
-15.6	-4.89E-10
-15.8	-4.99E-10
-16	-5.12E-10
-16.2	-5.22E-10
-16.4	-5.35E-10
-16.6	-5.46E-10
-16.8	-5.58E-10
-17	-5.71E-10
-17.2	-5.84E-10
-17.4	-5.96E-10
-17.6	-6.09E-10
-17.8	-6.22E-10
-18	-6.36E-10
-18.2	-6.50E-10
-18.4	-6.63E-10
-18.6	-6.77E-10
-18.8	-6.92E-10
-19	-7.06E-10
-19.2	-7.21E-10
-19.4	-7.36E-10
-19.6	-7.51E-10
-19.8	-7.66E-10
-20	-7.82E-10
-20	-8.86E-10
-19.8	-8.18E-10
-19.6	-7.73E-10
-19.4	-7.37E-10
-19.2	-7.04E-10
-19	-6.73E-10
-18.8	-6.43E-10
-18.6	-6.14E-10
-18.4	-5.87E-10
-18.2	-5.59E-10
-18	-5.42E-10
-17.8	-5.06E-10
-17.6	-4.78E-10
-17.4	-4.52E-10
-17.2	-4.26E-10
-17	-4.02E-10
-16.8	-3.77E-10
-16.6	-3.53E-10
-16.4	-3.30E-10
-16.2	-3.06E-10
-16	-2.84E-10
-15.8	-2.62E-10
-15.6	-2.42E-10
-15.4	-2.22E-10
-15.2	-2.03E-10
-15	-1.85E-10
-14.8	-1.69E-10
-14.6	-1.53E-10
-14.4	-1.39E-10
-14.2	-1.25E-10
-14	-1.13E-10
-13.8	-1.02E-10
-13.6	-9.10E-11
-13.4	-8.25E-11
-13.2	-7.42E-11
-13	-6.52E-11
-12.8	-5.94E-11
-12.6	-5.34E-11
-12.4	-4.63E-11
-12.2	-4.25E-11
-12	-3.71E-11
-11.8	-3.42E-11
-11.6	-3.04E-11
-11.4	-2.58E-11
-11.2	-2.42E-11
-11	-2.16E-11
-10.8	-1.78E-11
-10.6	-1.67E-11
-10.4	-4.70E-11
-10.2	-1.60E-11
-10	-1.12E-11
-9.8	-9.54E-12
-9.6	-7.35E-12
-9.4	-4.39E-12
-9.2	-2.96E-12
-9	-7.50E-13
-8.8	1.76E-12
-8.6	3.17E-12
-8.4	5.22E-12
-8.2	7.74E-12
-8	9.09E-12
-7.8	1.11E-11
-7.6	1.34E-11
-7.4	1.46E-11
-7.2	1.67E-11
-7	1.91E-11
